    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   43;       [17];       [18];       [21];       [22];       [19];       [20];       [23]; [24]/S[16];
   44;       [17];       [18];       [21];       [22];       [19];       [20];       [23]; [24]/S[16];
   45;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   46;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   47;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   48;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   49;       [17];       [18];       [21];       [22];       [19];       [20];       [23]; [24]/S[16];
   50;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   51;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   52;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   53;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   54;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   55;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   56;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   57;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   58;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   59;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   60;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   61;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   62;       [17];       [18];       [21];       [22];       [19];       [20];       [23];       [24];
   63;       [17];  [18]/S[2];       [21];       [22];  [19]/R[2];       [20];       [23];       [24];
   64;       [17];       [18];  [21]/S[3];       [22];      /R[3];       [20];       [23];       [24];
   65;  [17]/S[1];       [18];       [21];  [22]/S[4];      /R[4];  [20]/R[1];       [23];       [24];
   66;  [17]/S[1];  [18]/R[1];      /S[3];  [22]/S[4];      /R[6];      /R[3];       [23];       [24];
   67;      /S[1];      /R[3];      /S[3];      /R[1];      /S[5];      /R[3];  [23]/S[7];       [24];
   68;      /S[1];      /R[5];      /R[6];      /R[1];      /S[5];      /R[4];       [23];  [24]/S[8];
   69;           ;      /S[2];      /R[6];      /R[2];      /R[8];      /S[6];       [23];  [24]/S[8];
   70;           ;      /R[7];      /S[3];      /R[3];      /S[5];      /R[5];  [23]/S[7];       [24];
   71;           ;     /R[13];      /R[7];      /R[5];      /S[5];      /R[8];  [23]/S[7];  [24]/S[8];
   72;      /S[1];     /R[14];      /R[8];      /R[7];     /R[16];     /S[14];      /R[1];  [24]/S[8];
   73;      /S[1];     /R[15];      /R[8];      /R[7];     /S[13];     /R[13];      /R[1];  [24]/S[8];
   74;           ;  [28]/S[2];     /R[13];      /R[8]; [25]/S[13];     /R[16];      /R[2];  [24]/S[8];
   75;           ; [28]/S[10];      /S[3];     /R[10];       [25];     /R[16];      /R[3]; [24]/S[16];
   76;      /R[2];  [28]/S[2];      /S[3];     /R[11];       [25];  [27]/S[6];      /R[3];       [24];
   77;      /R[4];       [28];     /R[16];  [29]/S[4];       [25];       [27];      /R[4]; [24]/S[16];
   78;      /R[4];       [28];     /R[16];  [29]/S[4];       [25];  [27]/S[6];      /R[4]; [24]/S[16];
   79;      /R[6];       [28];       [26];  [29]/S[4];  [25]/S[5];  [27]/S[6];      /R[5];       [24];
   80;      /R[7];       [28];       [26];       [29];       [25]; [27]/S[14];      /S[7];  [24]/S[8];
   81;      /R[7];       [28];       [26];       [29];       [25];       [27];      /S[7];       [24];
   82;      /R[8];       [28];       [26];       [29];       [25];       [27];      /R[9];  [24]/S[8];
   83;      /R[8];       [28]; [26]/S[11];       [29];       [25];       [27];     /R[11];  [24]/S[8];
   84;      /S[1];       [28]; [26]/S[11];       [29];       [25];       [27];     /R[11];      /R[1];
   85;      /S[1]; [28]/S[10];       [26]; [29]/S[12];       [25];       [27];     /R[12];      /R[1];
   86;      /S[1];       [28];       [26]; [29]/S[12];       [25];       [27];     /R[12];      /R[1];
   87;     /R[12];  [28]/S[2];       [26]; [29]/S[12];       [25];       [27];  [30]/S[7];      /R[2];
   88;       [31];  [28]/S[2];       [26];       [29];       [25];       [27];  [30]/S[7];      /R[2];
   89;       [31];       [28];       [26];  [29]/S[4];       [25];       [27];       [30];      /R[4];
   90;  [31]/S[9];       [28];       [26];       [29];  [25]/S[5];       [27]; [30]/S[15];      /R[5];
