    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
  102;  [26]/S[1];       [29];       [25];       [27];  [30]/S[5];      /R[9];       [28];      /R[1];
  103;  [26]/S[1];       [29];       [25];       [27]; [30]/S[13];      /R[9];       [28];      /R[1];
  104;  [26]/S[1];       [29];       [25];       [27]; [30]/S[13];      /R[9];       [28];      /R[1];
  105;       [26];  [29]/S[2];       [25];       [27];       [30];     /R[10];       [28];      /R[2];
  106;       [26];  [29]/S[2];       [25];       [27];       [30];     /R[10];       [28];      /R[2];
  107;       [26];       [29];       [25];  [27]/S[4];       [30];     /R[12];       [28];      /R[4];
  108;       [26];       [29];       [25];       [27];  [30]/S[5]; [31]/S[14];       [28];      /R[5];
  109;       [26];       [29];       [25];       [27];  [30]/S[5];       [31];       [28];      /R[5];
  110;       [26];       [29];       [25];       [27];       [30];  [31]/S[6];       [28];      /R[6];
  111;       [26];       [29];       [25];       [27];       [30];  [31]/S[6];       [28];      /R[6];
  112;       [26];       [29];       [25];       [27];       [30];       [31];  [28]/S[7];      /R[7];
  113;  [26]/S[9];       [29];       [25];       [27];       [30];       [31];       [28];      /R[9];
  114;  [26]/S[9];       [29];       [25];       [27];       [30];       [31];       [28];      /R[9];
  115;  [26]/S[9];       [29];       [25];       [27];       [30];       [31];       [28];      /R[9];
  116;       [26]; [29]/S[10];       [25];       [27];       [30];       [31];       [28];     /R[10];
  117;       [26]; [29]/S[10];       [25];       [27];       [30];       [31];       [28];     /R[10];
  118;       [26];       [29]; [25]/S[11];       [27];       [30];       [31];       [28];     /R[11];
  119;       [26];       [29]; [25]/S[11];       [27];       [30];       [31];       [28];     /R[11];
  120;       [26];       [29]; [25]/S[11];       [27];       [30];       [31];       [28];     /R[11];
  121;  [26]/S[1];       [29];      /R[1];       [27];       [30];       [31];       [28];       [32];
  122;  [26]/S[1];       [29];      /R[1];       [27];       [30];       [31];       [28];       [32];
  123;       [26];  [29]/S[2];      /R[2];       [27];       [30];       [31];       [28];       [32];
  124;       [26];       [29];      /R[4];  [27]/S[4];       [30];       [31];       [28];       [32];
  125;       [26];       [29];      /R[4];  [27]/S[4];       [30];       [31];       [28];       [32];
  126; [26]/S[17];       [29];     /R[17];       [27];       [30];       [31];       [28];       [32];
  127; [26]/S[17];       [29];     /R[17];       [27];       [30];       [31];       [28];       [32];
  128;       [26];       [29];     /R[18]; [27]/S[18];       [30];       [31];       [28];       [32];
  129;       [26];       [29];     /R[18]; [27]/S[18];       [30];       [31];       [28];       [32];
  130;           ; [29]/S[19];     /R[19];       [27];       [30];       [31];       [28];       [32];
  131;           ;       [29];     /R[20];       [27]; [30]/S[20];       [31];       [28];       [32];
  132;           ;       [29];       [33];       [27];       [30];       [31];       [28];       [32];
  133;           ;       [29];       [33];       [27];       [30];       [31];       [28];       [32];
  134;           ;       [29];       [33];       [27];       [30];       [31];       [28];       [32];
  135;           ;       [29];       [33];       [27];       [30];       [31];       [28];       [32];
  136;           ;       [29];       [33];       [27];       [30];       [31];           ;       [32];
  137;           ;           ;       [33];           ;       [30];       [31];           ;       [32];
  138;           ;           ;       [33];           ;       [30];       [31];           ;       [32];
  139;           ;           ;       [33];           ;           ;       [31];           ;       [32];
  140;           ;           ;       [33];           ;           ;       [31];           ;       [32];
  141;           ;           ;       [33];           ;           ;       [31];           ;       [32];
  142;           ;           ;       [33];           ;           ;       [31];           ;       [32];
  143;           ;           ;       [33];           ;           ;       [31];           ;       [32];
  144;           ;           ;       [33];           ;           ;       [31];           ;       [32];
  145;     /S[17];           ; [33]/R[17];           ;           ;       [31];           ;       [32];
  146;     /S[17];           ; [33]/R[17];           ;           ;       [31];           ;       [32];
  147;     /R[21];           ; [34]/S[21];           ;           ;       [31];           ;       [32];
  148;     /R[21];           ; [34]/S[21];           ;           ;       [31];           ;       [32];
  149;     /R[33];           ; [34]/S[33];           ;           ;           ;           ;       [32];
  150;     /R[33];           ; [34]/S[33];           ;           ;           ;           ;       [32];
  151;       [35];     /R[33]; [36]/S[33];     /S[18];     /R[18];           ;           ;       [32];
  152;       [35];       [37];       [36];     /S[18];     /R[18];     /R[22];     /S[22];       [32];
  153; [35]/S[26];       [37]; [36]/S[33];     /R[26];     /R[33];     /R[33];           ;       [32];
  154; [35]/S[26]; [37]/S[19]; [36]/R[19];     /R[26]; [38]/S[30];       [39];     /R[30];       [32];
  155;           ; [37]/R[23]; [42]/S[33];     /R[33];       [38]; [39]/S[23];     /R[33];       [32];
  156;           ;     /R[23]; [42]/S[33];     /R[33];       [38]; [39]/S[23];     /R[33];       [32];
  157;     /R[27];     /R[33]; [42]/S[33]; [40]/S[27]; [38]/R[31]; [39]/S[31];       [41];       [32];
  158;     /R[27];       [43]; [42]/R[24]; [40]/S[27];     /S[20];     /R[20];       [41]; [32]/S[24];
  159;     /R[33];       [43];     /R[24];       [40];     /S[20];     /R[20];       [41]; [32]/S[24];
  160;     /R[33];       [43];     /R[24]; [40]/R[28];       [45];     /R[21]; [41]/S[28]; [32]/S[24];
  161;       [44];       [43]; [47]/S[33];     /R[33];       [45];     /R[33];           ;       [32];
  162;       [44];           ; [47]/S[33];     /R[33];       [45]; [46]/S[31];           ;     /R[33];
  163;       [44];           ; [47]/S[33];       [48];       [45];       [46];           ;     /R[33];
  164;       [44];           ; [47]/S[33];       [48];     /S[38];       [46];     /R[38];     /R[33];
  165;     /R[34];           ;     /S[34];       [48];           ; [46]/S[39];     /R[39];       [49];
  166;     /R[34];           ;     /S[34]; [48]/S[40];           ;           ;     /R[40];       [49];
  167;     /R[36];           ;     /S[36];           ;           ;           ;       [51];       [49];
  168;     /R[36];           ;     /S[36];           ;           ;           ;       [51];       [49];
  169;     /R[37];     /S[37];           ;           ;           ;           ;       [51];           ;
  170;       [50];           ;           ;           ;           ;           ;       [51];           ;
  171;       [50];     /R[42];     /S[42];           ;           ;           ;       [51];           ;
  172; [50]/S[44];     /R[44];     /R[46];           ;           ;     /S[46];       [51];           ;
  173;       [50];     /R[45];     /R[48];     /S[48];     /S[45];           ;       [51];           ;
  174;       [50];       [52];     /R[48];     /S[48];           ;           ;       [51];           ;
  175;       [50];       [52];     /R[49];           ;           ;           ;       [51];     /S[49];
  176;       [50];       [52];     /R[49];           ;           ;           ;       [51];     /S[49];
  177;       [50];       [52];     /R[49];           ;           ;           ;       [51];     /S[49];
  178;       [50];       [52];       [53];           ;           ;           ;       [51];           ;
  179;       [50];       [52];       [53];           ;           ;           ;       [51];           ;
  180;       [50];       [52];       [53];           ;           ;           ;       [51];           ;
  181;       [50];       [52];       [53];           ;           ;           ;       [51];           ;
  182;       [50];       [52];       [53];           ;           ;           ;       [51];           ;
  183;       [50];       [52];       [53];           ;           ;           ;           ;           ;
  184;       [50];       [52];       [53];           ;           ;           ;           ;           ;
  185;       [50];       [52];       [53];           ;           ;           ;           ;           ;
  186;           ;       [52];       [53];           ;           ;           ;           ;           ;
  187;           ;       [52];       [53];           ;           ;           ;           ;           ;
  188;           ;       [52];       [53];           ;           ;           ;           ;           ;
  189;           ;       [52];       [53];           ;           ;           ;           ;           ;
  190;           ;           ;       [53];           ;           ;           ;           ;           ;
  191;           ;           ;       [53];           ;           ;           ;           ;           ;
  192;           ;           ;       [53];           ;           ;           ;           ;           ;
  193;           ;           ;       [53];           ;           ;           ;           ;           ;
