    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   73;           ;       [29];       [24];       [23];       [27];       [30];  [26]/S[7];       [31];       [22];       [21];       [28]; [25]/S[12];       [19];           ;       [20];      /R[7];
   74;           ;       [29];       [24];       [23];       [27];       [30];  [26]/S[7];       [31];       [22];       [21];       [28];       [25];       [19];           ;       [20];      /R[7];
   75;           ;       [29];       [24];       [23];       [27];       [30];       [26];       [31];  [22]/S[9];           ;       [28];       [25];       [19];           ;       [20];      /R[9];
   76;      /S[1];       [29];       [24];       [23];       [27];       [30];       [26];       [31];  [22]/S[9];           ;       [28];       [25];       [19];           ;  [20]/R[1];      /R[9];
   77;      /S[1];       [29];       [24];       [23];       [27];       [30];           ;       [31];  [22]/S[9];           ;       [28];       [25];           ;           ;  [20]/R[1];      /R[9];
   78;      /S[1];       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];     /S[10];       [28];       [25];           ;           ;  [20]/R[1];     /R[10];
   79;           ;  [29]/S[2];       [24];       [23];       [27];       [30];           ;       [31];       [22];     /S[10];       [28];       [25];           ;           ;      /R[2];     /R[10];
   80;           ;  [29]/S[2];       [24];       [23];       [27];       [30];           ;       [31];       [22];     /S[10];       [28];           ;           ;           ;      /R[2];     /R[10];
   81;           ;  [29]/S[2];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ; [28]/S[11];           ;           ;           ;      /R[2];     /R[11];
   82;           ;       [29];  [24]/S[3];       [23];       [27];       [30];           ;       [31];       [22];           ; [28]/S[11];           ;           ;           ;      /R[3];     /R[11];
   83;           ;       [29];  [24]/S[3];       [23];       [27];       [30];           ;       [31];       [22];           ; [28]/S[11];           ;           ;           ;      /R[3];     /R[11];
   84;           ;       [29];  [24]/S[3];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;      /R[3];       [32];
   85;           ;       [29];       [24];  [23]/S[4];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;      /R[4];       [32];
   86;           ;       [29];       [24];  [23]/S[4];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;      /R[4]; [32]/S[16];
   87;           ;       [29];       [24];  [23]/S[4];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;      /R[4]; [32]/S[16];
   88;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;     /R[17]; [32]/S[16];
   89;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;     /R[17]; [32]/S[16];
   90;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;     /R[17]; [32]/S[16];
   91;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;     /S[18];     /R[18]; [32]/S[16];
   92;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;     /S[19];           ;     /R[19];       [32];
   93;           ;       [29];       [24];       [23];       [27];       [30];           ;       [31];       [22];           ;       [28];           ;           ;           ;       [33];       [32];
