    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
  105;     /R[21];           ;           ;     /S[30];       [36];     /S[27];     /R[30];     /R[24]; [37]/S[24];     /S[23];     /R[23];     /S[21]; [34]/S[33]; [38]/S[19];     /R[33];     /R[27];
  106;     /R[33];     /R[33];     /R[20];     /S[30]; [36]/S[28];     /S[27];     /R[30];     /R[24]; [37]/S[24];     /S[23];     /R[23];     /R[28]; [34]/S[20];       [38];       [39];     /R[27];
  107;     /R[33];     /R[33];     /R[20];     /R[32]; [36]/S[28];       [40];     /R[33];     /R[24]; [37]/S[24];     /R[33];     /R[33];     /R[28];     /S[20];       [38];       [39];     /S[32];
  108;       [35];     /R[33];     /R[20];     /R[32]; [36]/S[28];       [40];     /R[33];     /R[24]; [37]/S[24];       [42];     /R[33];     /R[28];     /S[20];       [38];       [39];     /S[32];
  109;       [35];       [45];     /R[21];     /R[33];     /S[28];       [40];       [41];     /R[33];           ;       [42];       [43];     /R[28];     /S[33];           ;       [39];       [44];
  110;       [35];       [45];     /R[21];     /R[33];           ;       [40];       [41];     /R[33];           ;       [42];       [43];     /R[33];     /S[33];           ;           ;       [44];
  111;       [35];       [45];     /R[33];     /R[33];           ;           ;       [41];     /R[33];           ;       [42];       [43];     /R[33];     /S[33];           ;           ;       [44];
  112;           ;       [45];     /R[33];     /R[33];           ;           ;       [41];       [47];           ;           ;       [43];     /R[33];     /S[33];           ;           ;       [44];
  113;           ;           ;     /R[33];       [49];     /R[38];           ;           ;       [47];           ;           ;           ;       [48];     /S[33];     /S[38];           ;           ;
  114;     /R[34];           ;       [46];       [49];     /R[38];           ;           ;       [47];           ;           ;           ;       [48];     /S[34];     /S[38];           ;           ;
  115;     /R[34];           ;       [46];       [49];     /R[39];           ;           ;       [47];           ;           ;           ;       [48];     /S[34];           ;     /S[39];           ;
  116;     /R[36];           ;       [46];       [49];     /R[39];           ;           ;           ;           ;           ;           ; [48]/S[21];           ;           ;     /S[39];           ;
  117;     /R[37];           ;       [46];           ;     /R[40];     /S[40];           ;           ;     /S[37];     /S[42];           ;     /R[42];           ;           ;           ;           ;
  118;       [50];           ;           ;           ;     /R[41];           ;     /S[41];           ;           ;           ;     /S[43];     /R[43];           ;           ;           ;           ;
  119;       [50];           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;     /R[44];           ;           ;           ;     /S[44];
  120;       [50];     /S[45];           ;           ; [51]/S[36];           ;           ;           ;           ;           ;           ;     /R[45];           ;           ;           ;           ;
  121;       [50];     /S[45];           ;           ;       [51];           ;           ;           ;           ;           ;           ;     /R[45];           ;           ;           ;           ;
  122;       [50];           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ; [52]/S[21];           ;           ;           ;           ;
  123;       [50];           ;     /S[46];     /R[46];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  124;       [50];           ;           ;     /R[47];       [51];           ;           ;     /S[47];           ;           ;           ;       [52];           ;           ;           ;           ;
  125;       [50];           ;           ;     /R[48];       [51];           ;           ;           ;           ;           ;           ; [52]/S[48];           ;           ;           ;           ;
  126;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  127;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  128;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  129;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  130;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  131;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  132;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  133;       [50];           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  134;           ;           ;           ;       [53];       [51];           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  135;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  136;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  137;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;           ;       [52];           ;           ;           ;           ;
  138;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  139;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  140;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  141;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
