    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   96;  [25]/S[9];     /S[10];     /R[12];      /R[5];      /S[5];     /R[10];     /R[16]; [26]/S[16];
   97;       [25];     /R[14]; [29]/S[11];      /R[5];      /S[5];     /R[12];       [27];       [26];
   98;       [25];     /R[15]; [29]/S[11];      /R[6];     /R[11];      /S[6]; [27]/S[15];       [26];
   99;       [25];     /R[15];  [29]/S[3];      /R[6];     /R[12];  [31]/S[6]; [27]/S[15];       [26];
  100;       [25];     /R[15];       [29];      /R[7];     /R[12];       [31];  [27]/S[7];       [26];
  101;       [25];       [28];       [29];      /R[7];     /R[12];       [31];  [27]/S[7];       [26];
  102;  [25]/S[9];       [28];       [29];      /R[9];       [30];       [31];       [27];       [26];
  103;  [25]/S[9];       [28];       [29];      /R[9];       [30];  [31]/S[6];       [27];       [26];
  104;       [25]; [28]/S[10];       [29];     /R[10];       [30];  [31]/S[6];       [27];       [26];
  105;       [25];       [28]; [29]/S[11];     /R[11];  [30]/S[5];       [31];       [27];       [26];
  106;       [25];       [28];       [29];  [32]/S[4];  [30]/S[5];       [31];       [27];       [26];
  107;       [25];       [28];       [29];  [32]/S[4];       [30]; [31]/S[14];       [27];       [26];
  108;       [25];       [28];       [29];       [32];       [30]; [31]/S[14];       [27];       [26];
  109;       [25];       [28];       [29];       [32]; [30]/S[13];       [31];       [27];       [26];
  110;       [25];       [28];       [29]; [32]/S[12];       [30]; [31]/S[14];       [27];       [26];
  111;       [25];       [28];       [29]; [32]/S[12]; [30]/S[13];       [31];       [27];       [26];
  112;       [25];       [28];       [29]; [32]/S[12]; [30]/S[13];       [31];       [27];       [26];
  113;       [25];       [28];       [29]; [32]/S[12];       [30];       [31];       [27];       [26];
  114;       [25];       [28];       [29]; [32]/S[12];       [30];       [31];       [27];       [26];
  115;       [25];       [28];       [29]; [32]/S[12];       [30];       [31];       [27];       [26];
  116;       [25];       [28];       [29];       [32];       [30];       [31];       [27];       [26];
  117;       [25];       [28];       [29];       [32];       [30];       [31];       [27];       [26];
  118;  [25]/S[1];       [28];       [29];       [32];       [30];       [31];       [27];  [26]/R[1];
  119;  [25]/S[1];       [28];       [29];       [32];       [30];       [31];       [27];  [26]/R[1];
  120;  [25]/S[1];       [28];       [29];       [32];       [30];       [31];       [27];  [26]/R[1];
  121;       [25];  [28]/S[2];       [29];       [32];       [30];       [31];       [27];      /R[2];
  122;       [25];  [28]/S[2];       [29];       [32];       [30];       [31];       [27];      /R[2];
  123;       [25];       [28];  [29]/S[3];       [32];       [30];       [31];       [27];      /R[3];
  124;       [25];       [28];  [29]/S[3];       [32];       [30];       [31];       [27];      /R[3];
  125;           ;       [28];       [29];  [32]/S[4];       [30];       [31];       [27];      /R[4];
  126;           ;       [28];       [29];       [32];       [30];       [31];       [27];     /R[17];
  127;           ;       [28];       [29];       [32];       [30];       [31];       [27];     /R[17];
  128;           ;       [28];       [29];       [32];       [30];       [31];       [27];     /R[17];
  129;           ;       [28]; [29]/S[18];       [32];       [30];       [31];       [27];     /R[18];
  130;           ;       [28]; [29]/S[18];       [32];       [30];       [31];       [27];     /R[18];
  131;           ; [28]/S[19];       [29];       [32];       [30];       [31];       [27];     /R[19];
  132;           ; [28]/S[19];       [29];       [32];       [30];       [31];       [27];     /R[19];
  133;           ;       [28];       [29]; [32]/S[20];       [30];       [31];       [27];     /R[20];
  134;           ;       [28];       [29];       [32];       [30];       [31];       [27];       [33];
  135;           ;       [28];       [29];       [32];       [30];       [31];       [27];       [33];
  136;           ;       [28];       [29];       [32];       [30];       [31];       [27];       [33];
  137;           ;       [28];       [29];       [32];       [30];       [31];       [27];       [33];
