    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   46;       [17];     /S[10];     /R[15];     /R[16];       [19];       [21];     /S[15];     /R[10];
   47;       [17];     /S[10];     /R[15];     /R[16];       [19];       [21];     /S[15];     /R[10];
   48;       [17];     /R[15];     /R[15]; [18]/S[12];       [19];       [21];     /S[15];     /R[12];
   49;       [17];     /R[16];     /R[15]; [18]/S[12];       [19];  [21]/S[6];     /S[15];     /R[12];
   50;       [17];     /R[16];       [24]; [18]/S[12]; [19]/S[13];  [21]/S[6];     /R[12];     /R[13];
   51;       [17]; [20]/S[10];       [24];       [18]; [19]/S[13]; [21]/S[14];     /R[13];     /R[14];
   52;       [17];       [20];  [24]/S[3];       [18]; [19]/S[13]; [21]/S[14];     /R[13];     /R[14];
   53;       [17];       [20];  [24]/S[3];       [18];       [19];       [21];     /R[16];  [23]/S[8];
   54;       [17];       [20];  [24]/S[3];       [18];       [19];       [21];       [22];  [23]/S[8];
   55;       [17];       [20];  [24]/S[3];       [18];       [19]; [21]/S[14];       [22]; [23]/S[16];
   56;       [17];       [20]; [24]/S[11];       [18];       [19]; [21]/S[14];  [22]/S[7];       [23];
   57;       [17];       [20];       [24];       [18];       [19]; [21]/S[14];  [22]/S[7];       [23];
   58;       [17];       [20];       [24];       [18];       [19];       [21];  [22]/S[7];       [23];
   59;       [17];       [20]; [24]/S[11];       [18];       [19];       [21];       [22];       [23];
   60;       [17];       [20]; [24]/S[11];       [18];       [19];       [21];       [22];       [23];
   61;       [17];       [20]; [24]/S[11];       [18];       [19];       [21];       [22];       [23];
   62;       [17];       [20]; [24]/S[11];       [18];       [19];       [21]; [22]/S[15]; [23]/S[16];
   63;       [17];       [20];       [24];       [18];       [19];       [21]; [22]/S[15]; [23]/S[16];
   64;       [17];       [20];       [24];       [18];       [19];       [21]; [22]/S[15];       [23];
   65;       [17];       [20];       [24];       [18];       [19];       [21]; [22]/S[15]; [23]/S[16];
   66;       [17];       [20];       [24];       [18];       [19];       [21];       [22]; [23]/S[16];
   67;       [17];       [20];       [24];       [18];       [19];       [21];       [22];       [23];
   68;           ;       [20];       [24];       [18];       [19];       [21];       [22];       [23];
   69;      /R[2];  [20]/S[2];       [24];       [18];       [19];       [21];       [22]; [23]/S[16];
   70;      /R[3];       [20];  [24]/S[3];       [18];       [19];       [21];       [22];       [23];
   71;      /R[3];       [20];  [24]/S[3];       [18];       [19];       [21];       [22];       [23];
   72;      /R[4];       [20];  [24]/S[3];  [18]/S[4];       [19];      /R[3];       [22];       [23];
   73;      /R[6];       [20];       [24];  [18]/S[4];       [19];      /R[4];       [22];       [23];
   74;      /R[6];       [20];       [24];  [18]/S[4];       [19];      /R[4];       [22];       [23];
   75;      /R[6];       [20];       [24];       [18];  [19]/S[5];      /R[5];       [22];       [23];
   76;      /R[7];       [20];       [24];       [18];       [19];      /R[7];  [22]/S[7];       [23];
   77;      /R[7];       [20];       [24];       [18];       [19];      /R[7];  [22]/S[7];       [23];
   78;      /R[8];       [20];       [24];       [18];       [19];      /R[7];  [22]/S[7];  [23]/S[8];
   79;      /R[8];       [20];       [24];       [18];       [19];      /R[8];       [22];  [23]/S[8];
   80;      /R[8];       [20];       [24];       [18];       [19];      /R[8];       [22];  [23]/S[8];
   81;      /S[1];       [20];       [24];       [18];      /R[1];     /R[13];       [22];       [23];
   82;      /S[1];       [20];       [24];       [18];      /R[1];     /R[15]; [22]/S[15];       [23];
   83;     /R[14];       [20];  [24]/S[3];       [18];      /R[3];     /R[15]; [22]/S[15];       [23];
   84;     /R[15];       [20];  [24]/S[3];       [18];      /R[3];     /R[15]; [22]/S[15];       [23];
   85;     /R[15];       [20];       [24];  [18]/S[4];      /R[4];     /R[16]; [22]/S[15]; [23]/S[16];
   86;     /R[16];       [20];       [24];       [18];      /R[6];      /S[6];       [22]; [23]/S[16];
   87;     /R[16];       [20];       [24];       [18];      /R[8];       [26];       [22];  [23]/S[8];
   88;     /R[16];       [20];       [24];       [18];     /R[14]; [26]/S[14];       [22]; [23]/S[16];
   89;  [25]/S[1];       [20];       [24];      /R[1];     /R[16];  [26]/S[6];       [22]; [23]/S[16];
   90;  [25]/S[1];  [20]/S[2];  [24]/R[1];      /R[2]; [27]/S[13];  [26]/S[6];       [22];       [23];
   91;  [25]/S[1];  [20]/S[2];      /R[1];      /R[2];       [27];       [26];       [22];       [23];
   92;  [25]/S[1];      /R[1];      /R[2];      /R[3];       [27];       [26];       [22];       [23];
   93;  [25]/S[1];      /R[3];      /S[3];      /R[3];  [27]/S[5];       [26];       [22];  [23]/R[1];
   94;  [25]/S[1];      /R[4];      /R[5];      /S[4];  [27]/S[5];       [26];       [22];      /R[1];
   95;  [25]/S[1];      /R[4];      /R[7];      /S[4];  [27]/S[5];       [26];      /R[1];      /R[1];
   96;  [25]/S[1];      /S[2];      /R[7];      /R[6];  [27]/S[5];  [26]/S[6];      /R[1];      /R[2];
   97;       [25];      /S[2];      /R[7];      /R[6];       [27];  [26]/S[6];      /R[2];      /R[2];
   98;       [25];      /S[2];      /R[7];      /S[4];       [27]; [26]/S[14];      /R[2];      /R[4];
   99;  [25]/S[9];      /S[2];      /R[8];      /S[4]; [27]/S[13];       [26];      /R[2];      /R[4];
  100;       [25];     /R[11];     /S[11];      /S[4];       [27];  [26]/S[6];      /R[4];      /R[6];
  101;       [25];     /R[12];      /R[8];     /S[12];  [27]/S[5];  [26]/S[6];      /R[5];      /R[6];
  102;       [25];     /R[12];     /R[10];     /S[12];  [27]/S[5];       [26];      /R[5];      /R[7];
  103;  [25]/S[9];  [30]/S[2];     /R[12]; [28]/S[12];       [27];  [26]/S[6];      /R[6];      /R[9];
  104;  [25]/S[9];       [30];     /R[12]; [28]/S[12];       [27];  [26]/S[6];      /R[6];      /R[9];
  105;  [25]/S[9];       [30];     /R[12]; [28]/S[12];       [27];  [26]/S[6];      /R[6];      /R[9];
  106;  [25]/S[9]; [30]/S[10];       [29];       [28];       [27];       [26];      /R[9];     /R[10];
  107;  [25]/S[9]; [30]/S[10];  [29]/S[3];       [28];       [27];       [26];      /R[9];     /R[10];
  108;       [25]; [30]/S[10];  [29]/S[3]; [28]/S[12];       [27];       [26];     /R[10];     /R[12];
  109;       [25]; [30]/S[10];  [29]/S[3]; [28]/S[12];       [27];       [26];     /R[10];     /R[12];
  110;       [25]; [30]/S[10];       [29];       [28];       [27];       [26];     /R[10];       [31];
  111;       [25];       [30]; [29]/S[11];       [28];       [27];       [26];     /R[11];       [31];
  112;       [25];       [30]; [29]/S[11];       [28];       [27];       [26];     /R[11];       [31];
  113;       [25]; [30]/S[10]; [29]/S[11];       [28];       [27];       [26];     /R[11];  [31]/S[8];
  114;       [25];       [30]; [29]/S[11];       [28];       [27];       [26];     /R[11];  [31]/S[8];
  115;       [25];       [30];       [29];       [28];       [27];       [26];  [32]/S[7];  [31]/S[8];
  116;       [25];       [30];       [29];       [28];       [27];       [26];  [32]/S[7];  [31]/S[8];
  117;       [25];       [30];       [29];       [28];       [27];       [26];  [32]/S[7];  [31]/S[8];
  118;       [25];       [30];       [29];       [28];       [27];       [26];  [32]/S[7];       [31];
  119;       [25];       [30];       [29];       [28];       [27];       [26];       [32];       [31];
  120;       [25];       [30];       [29];       [28];       [27];       [26];       [32];       [31];
  121;       [25];       [30];       [29];       [28];       [27];       [26];       [32];       [31];
  122;       [25];       [30];       [29];       [28];       [27];       [26];  [32]/S[7];       [31];
  123;       [25];       [30];       [29];       [28];       [27];       [26];       [32];       [31];
