***;Topology:; Hypercube;
   ;Method:; Cramer;
   ;Average workload:; 43.7;
   ;Average number of forwarding:; 64;
   ;Average hop to payload ratio:; 77.9;
***;Topology:; DeBruijn;
   ;Number of processors:; 16;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 157;
   ;Acceleration coefficient:; 5.503;
   ;Efficiency coefficient:; 0.344;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 22.8; 51; 141.7;
   ; Processor №1; 36.7; 43; 74.1;
   ; Processor №2; 38.0; 37; 61.7;
   ; Processor №3; 26.6; 29; 69.0;
   ; Processor №4; 28.5; 35; 77.8;
   ; Processor №5; 27.2; 43; 100.0;
   ; Processor №6; 22.8; 41; 113.9;
   ; Processor №7; 25.9; 40; 97.6;
   ; Processor №8; 29.1; 32; 69.6;
   ; Processor №9; 36.1; 43; 75.4;
   ; Processor №10; 26.6; 40; 95.2;
   ; Processor №11; 21.5; 44; 129.4;
   ; Processor №12; 24.7; 32; 82.1;
   ; Processor №13; 21.5; 33; 97.1;
   ; Processor №14; 36.1; 67; 117.5;
   ; Processor №15; 24.1; 52; 136.8;
   ;Average workload:; 28.0;
   ;Average number of forwarding:; 41;
   ;Average hop to payload ratio:; 96.2;
***;Topology:; Extended_DeBruijn;
   ;Number of processors:; 8;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 179;
   ;Acceleration coefficient:; 4.827;
   ;Efficiency coefficient:; 0.603;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 56.7; 56; 54.9;
   ; Processor №1; 57.8; 63; 60.6;
   ; Processor №2; 58.3; 44; 41.9;
   ; Processor №3; 54.4; 49; 50.0;
   ; Processor №4; 48.9; 36; 40.9;
   ; Processor №5; 46.1; 40; 48.2;
   ; Processor №6; 45.0; 53; 65.4;
   ; Processor №7; 41.1; 66; 89.2;
   ;Average workload:; 51.0;
   ;Average number of forwarding:; 50;
   ;Average hop to payload ratio:; 56.4;
***;Topology:; Extended_DeBruijn;
   ;Number of processors:; 16;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 129;
   ;Acceleration coefficient:; 6.698;
   ;Efficiency coefficient:; 0.419;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 50.8; 56; 84.8;
   ; Processor №1; 31.5; 20; 48.8;
   ; Processor №2; 46.9; 27; 44.3;
   ; Processor №3; 32.3; 27; 64.3;
   ; Processor №4; 46.2; 28; 46.7;
   ; Processor №5; 30.8; 28; 70.0;
   ; Processor №6; 35.4; 30; 65.2;
   ; Processor №7; 34.6; 30; 66.7;
   ; Processor №8; 30.8; 24; 60.0;
   ; Processor №9; 29.2; 36; 94.7;
   ; Processor №10; 32.3; 28; 66.7;
   ; Processor №11; 32.3; 26; 61.9;
   ; Processor №12; 36.9; 24; 50.0;
   ; Processor №13; 36.2; 25; 53.2;
   ; Processor №14; 35.4; 32; 69.6;
   ; Processor №15; 42.3; 44; 80.0;
   ;Average workload:; 36.5;
   ;Average number of forwarding:; 30;
   ;Average hop to payload ratio:; 64.2;
