    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   45;       [17];     /S[10];     /R[10]; [21]/S[12];     /R[12];     /R[12];  [20]/S[7];       [24];
   46;       [17];     /R[13];     /R[12];       [21];     /S[13];     /R[13]; [20]/S[15];       [24];
   47;       [17];     /R[13];     /R[13];       [21];     /R[16];     /R[15]; [20]/S[15];       [24];
   48;       [17];      /S[2];     /R[13];       [21];     /R[16];     /R[15];      /R[2];  [24]/S[8];
   49;       [17];      /S[2];     /R[14];       [21];       [22];       [23];      /R[2];  [24]/S[8];
   50;       [17];      /S[2];     /R[14];       [21];  [22]/S[5];  [23]/S[6];      /R[2];  [24]/S[8];
   51;       [17];     /R[15];      /S[3];       [21];  [22]/S[5];       [23];      /R[3];       [24];
   52;       [17];     /R[16];      /S[3];      /R[3];  [22]/S[5];  [23]/S[6];      /R[6];       [24];
   53;           ;     /R[16];     /R[16];      /R[5];  [22]/S[5];  [23]/S[6];      /R[6];       [24];
   54;           ;       [18];     /R[16];      /R[5];  [22]/S[5];  [23]/S[6];      /R[8];  [24]/S[8];
   55;           ;       [18];       [19];      /R[5];  [22]/S[5];       [23];     /R[16]; [24]/S[16];
   56;           ;       [18];       [19];      /R[6];       [22];  [23]/S[6]; [25]/S[15]; [24]/S[16];
   57;      /R[3];       [18];  [19]/S[3];      /R[6];       [22];  [23]/S[6];       [25];       [24];
   58;      /R[4];       [18];       [19];      /S[4];       [22];       [23];  [25]/S[7];       [24];
   59;      /R[4];       [18];       [19];      /S[4];       [22];       [23];  [25]/S[7];       [24];
   60;      /R[5];       [18];       [19];      /R[8];  [22]/S[5];       [23];       [25];  [24]/S[8];
   61;      /R[6];       [18];       [19];     /R[13]; [22]/S[13];  [23]/S[6];       [25]; [24]/S[16];
   62;      /R[6];       [18]; [19]/S[11];     /R[13]; [22]/S[13];  [23]/S[6];       [25]; [24]/S[16];
   63;      /R[8];       [18]; [19]/S[11];     /R[13]; [22]/S[13]; [23]/S[14];       [25];  [24]/S[8];
   64;      /R[8];       [18];       [19];     /R[14]; [22]/S[13]; [23]/S[14]; [25]/S[15];  [24]/S[8];
   65;      /S[1];       [18];       [19];     /R[14];       [22]; [23]/S[14]; [25]/S[15];      /R[1];
   66;      /S[1];       [18];       [19];     /R[15]; [22]/S[13];       [23]; [25]/S[15];      /R[1];
   67;      /S[1];       [18];       [19];     /R[15];       [22]; [23]/S[14]; [25]/S[15];      /R[1];
   68;     /R[14];       [18];  [19]/S[3];     /R[16];       [22]; [23]/S[14];       [25];      /R[3];
   69;     /R[16];       [18];  [19]/S[3];       [26];       [22];       [23];       [25];      /R[3];
   70;     /R[16];       [18];       [19];  [26]/S[4];       [22];       [23];       [25];      /R[4];
   71;     /R[16];       [18];       [19];       [26];  [22]/S[5];       [23];       [25];      /R[5];
   72;       [27];       [18];       [19]; [26]/S[12];  [22]/S[5];       [23];       [25];      /R[5];
   73;       [27];       [18];       [19]; [26]/S[12];       [22];       [23];  [25]/S[7];      /R[7];
   74;       [27];       [18];       [19];       [26]; [22]/S[13];       [23];       [25];     /R[13];
   75;       [27];       [18];       [19];       [26]; [22]/S[13];       [23];       [25];     /R[13];
   76;       [27];       [18];       [19];       [26];       [22];       [23]; [25]/S[15];     /R[15];
   77;  [27]/S[1];       [18];       [19];       [26];  [22]/R[1];       [23];       [25];  [28]/S[8];
   78;  [27]/S[1];  [18]/S[2];       [19];       [26];      /R[2];      /R[1];       [25];       [28];
   79;  [27]/S[1];  [18]/S[2];       [19];       [26];      /R[2];      /R[1];       [25];       [28];
   80;       [27];  [18]/S[2];  [19]/S[3];       [26];      /R[3];      /R[2];       [25]; [28]/S[16];
   81;       [27];       [18];  [19]/S[3];       [26];      /R[3];      /R[3];       [25]; [28]/S[16];
   82;  [27]/S[1];  [18]/R[1];  [19]/S[3];       [26];      /R[7];      /R[3];  [25]/S[7]; [28]/S[16];
