    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   88;       [27];      /R[6];  [28]/S[3];  [26]/S[4];     /R[11];      /R[4];      /R[3];           ;
   89;       [27];      /R[6];       [28];  [26]/S[4];     /R[12];      /R[7];      /S[7];           ;
   90;       [27];      /R[7];       [28];       [26];  [29]/S[5];      /R[7];      /S[7];           ;
   91;       [27];      /R[7];       [28];       [26];  [29]/S[5];      /R[7];      /S[7];           ;
   92;  [27]/S[9];      /R[7];       [28];       [26]; [29]/S[13];      /R[9];      /S[7];           ;
   93;  [27]/S[9];      /R[8];       [28];       [26];       [29];      /R[9];      /R[6];      /S[8];
   94;  [27]/S[9];      /R[8];       [28];       [26];       [29];      /R[9];      /R[6];      /S[8];
   95;  [27]/S[9];     /S[10];       [28];       [26];       [29];     /R[10];      /R[8];      /S[8];
   96;  [27]/S[9];     /S[10];       [28]; [26]/S[12];       [29];     /R[10];      /R[9];           ;
   97;  [27]/S[9];     /R[12]; [28]/S[11]; [26]/S[12];       [29];     /R[11];      /R[9];           ;
   98;  [27]/S[1];  [31]/S[2]; [28]/S[11];       [26];       [29];       [32];     /R[11];      /R[1];
   99;  [27]/S[1];       [31]; [28]/S[11];       [26];       [29];       [32];     /R[11];      /R[1];
  100;  [27]/S[1]; [31]/S[10]; [28]/S[11];           ;       [29];       [32];     /R[11];      /R[1];
  101;       [27];  [31]/S[2]; [28]/S[11];           ;       [29];       [32];     /R[11];      /R[2];
  102;       [27];  [31]/S[2];       [28];     /S[12];       [29];  [32]/S[6];     /R[12];      /R[2];
  103;       [27];       [31];  [28]/S[3];           ;       [29];  [32]/S[6]; [30]/S[15];      /R[3];
  104;       [27];       [31];  [28]/S[3];           ;       [29];       [32]; [30]/S[15];      /R[3];
  105;       [27];       [31];  [28]/S[3];           ;       [29];       [32];  [30]/S[7];      /R[3];
  106;       [27];       [31];       [28];      /S[4];       [29];  [32]/S[6];  [30]/S[7];      /R[4];
  107;           ;       [31];       [28];      /S[4];       [29];  [32]/S[6];       [30];      /R[4];
  108;           ;       [31];       [28];           ;       [29];  [32]/S[6];       [30];     /R[17];
  109;           ;       [31];       [28];           ;       [29];       [32];       [30];     /R[17];
  110;           ;       [31];       [28];           ;       [29];       [32];       [30];     /R[17];
  111;           ;       [31];       [28];           ; [29]/S[18];       [32];       [30];     /R[18];
  112;           ; [31]/S[19];       [28];           ;       [29];       [32];       [30];     /R[19];
  113;           ; [31]/S[19];       [28];           ;       [29];       [32];       [30];     /R[19];
  114;           ;       [31];           ;           ;       [29];       [32];       [30];       [33];
  115;           ;       [31];           ;           ;       [29];       [32];       [30];       [33];
  116;           ;       [31];           ;           ;       [29];       [32];       [30];       [33];
  117;           ;       [31];           ;           ;       [29];       [32];       [30];       [33];
  118;           ;       [31];           ;           ;       [29];       [32];       [30];       [33];
  119;           ;       [31];           ;           ;           ;       [32];       [30];       [33];
  120;           ;       [31];           ;           ;           ;       [32];       [30];       [33];
  121;           ;       [31];           ;           ;           ;       [32];       [30];       [33];
  122;     /S[17];       [31];           ;           ;           ;       [32];       [30]; [33]/R[17];
  123;     /S[17];       [31];           ;           ;           ;       [32];       [30]; [33]/R[17];
  124;     /S[17];       [31];           ;           ;           ; [32]/R[22]; [30]/S[22]; [33]/R[17];
  125;           ;       [31];           ;     /S[21];     /R[21]; [32]/R[22]; [30]/S[22];       [34];
  126;           ;       [31];           ;           ;     /R[33]; [32]/R[22]; [30]/S[22]; [34]/S[33];
  127;     /R[25];     /R[29];           ;     /R[18]; [35]/S[18];     /R[33];       [30]; [34]/S[33];
  128;     /R[25];     /S[19];     /R[26];     /S[26];       [35];     /R[33];       [30];     /R[19];
  129;     /R[25];     /S[19];     /R[26];     /S[26]; [35]/R[23]; [39]/S[23];       [30];     /R[19];
  130;     /R[33];       [37];     /R[26]; [38]/S[26];     /R[33];       [39];       [30]; [42]/S[33];
  131;     /R[33];       [37];     /R[33];       [38];       [43];       [39];       [30]; [42]/S[33];
  132;     /S[27];       [37];     /R[33];       [38];       [43];     /R[27];     /R[33]; [42]/S[33];
  133; [36]/S[27];     /R[33];     /S[24];     /R[20];       [43];     /R[27];       [41];     /R[24];
  134; [36]/S[27];     /R[33]; [40]/S[28];     /R[20];     /R[28];     /R[27];       [41];     /R[24];
  135;       [36];       [45]; [40]/S[28];     /R[33];     /R[28];     /R[33];       [41];     /R[24];
  136;           ;       [45];       [40];     /R[33];     /R[33];     /S[32];     /R[32]; [47]/S[33];
  137;           ;       [45];           ;       [46];       [48]; [44]/S[32];     /R[32]; [47]/S[20];
  138;           ;           ;           ;       [46];       [48]; [44]/S[32];     /R[32]; [47]/S[33];
  139;           ;           ;           ;       [46];       [48];       [44];     /R[33];     /S[33];
  140;     /R[34];           ;           ;           ;           ;           ;       [49];     /S[34];
  141;     /R[34];           ;           ;     /S[38];           ;     /R[38];       [49];     /S[34];
  142;     /R[34];           ;           ;     /S[38];           ;     /R[38];       [49];     /S[34];
  143;     /R[35];           ;     /S[40];           ;     /S[35];     /R[40];           ;           ;
  144;     /R[35];           ;           ;           ;     /S[43];     /R[41];     /S[41];     /R[43];
  145;     /R[37];     /S[37];           ;     /S[46];     /R[46];     /S[44];     /S[41];     /R[44];
  146;       [50];           ;           ;           ;     /R[47];     /S[44];     /S[41];     /S[47];
  147;       [50];     /S[45];           ;           ;     /R[49];       [51];     /S[49];     /R[45];
  148;       [50];     /S[45];           ;           ;     /R[49];       [51];     /S[49];     /R[45];
  149;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  150;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  151;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  152;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  153;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  154;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  155;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  156;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  157;       [50];           ;           ;           ;       [53];       [51];           ;       [52];
  158;           ;           ;           ;           ;       [53];       [51];           ;       [52];
  159;           ;           ;           ;           ;       [53];           ;           ;       [52];
  160;           ;           ;           ;           ;       [53];           ;           ;       [52];
