    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   45;       [17];     /R[13];       [21];     /S[12];       [22];     /R[12];  [20]/S[7];       [24];
   46;       [17];      /S[2];       [21];     /R[13]; [22]/S[13];     /R[13];      /R[2];       [24];
   47;       [17];      /S[2];       [21];     /R[14]; [22]/S[13];     /R[13];      /R[2];       [24];
   48;       [17];     /R[15];  [21]/S[3];     /R[15];  [22]/S[5];     /R[15];      /R[3];       [24];
   49;       [17];     /R[15];  [21]/S[3];     /R[16];       [22];  [23]/S[6];      /R[3];  [24]/S[8];
   50;       [17];     /R[16];      /R[4];  [19]/S[4];       [22];  [23]/S[6];      /R[6];  [24]/S[8];
   51;       [17];     /R[16];      /R[4];  [19]/S[4];       [22];  [23]/S[6];      /R[8];  [24]/S[8];
   52;       [17];       [18];      /R[5];       [19];  [22]/S[5];       [23];     /R[16]; [24]/S[16];
   53;       [17];       [18];      /R[6];       [19];       [22];  [23]/S[6];       [25]; [24]/S[16];
   54;       [17];       [18];      /R[7];       [19];       [22];       [23];  [25]/S[7];       [24];
   55;           ;       [18];      /R[7];       [19];       [22];       [23];  [25]/S[7];       [24];
   56;           ;       [18];      /R[8];       [19]; [22]/S[13];       [23];       [25];  [24]/S[8];
   57;           ;       [18];      /R[8];       [19]; [22]/S[13];       [23];       [25];  [24]/S[8];
   58;           ;       [18];      /R[8]; [19]/S[12];       [22];       [23];       [25];  [24]/S[8];
   59;           ;       [18];     /R[13];       [19]; [22]/S[13]; [23]/S[14];       [25]; [24]/S[16];
   60;           ;       [18];     /R[14];       [19];       [22]; [23]/S[14];       [25]; [24]/S[16];
   61;           ;       [18];     /R[15];       [19];       [22];       [23]; [25]/S[15]; [24]/S[16];
   62;           ;       [18];     /R[15];       [19];       [22];       [23]; [25]/S[15];       [24];
   63;           ;       [18];     /R[16];       [19];       [22];       [23];       [25]; [24]/S[16];
   64;           ;       [18];     /R[16];       [19];       [22];       [23];       [25]; [24]/S[16];
   65;           ;       [18];     /R[16];       [19];       [22];       [23];       [25]; [24]/S[16];
   66;      /R[3];       [18];  [26]/S[3];       [19];       [22];       [23];       [25];       [24];
   67;      /R[3];       [18];  [26]/S[3];       [19];       [22];       [23];       [25];       [24];
   68;      /R[4];       [18]; [26]/S[11];  [19]/S[4];       [22];       [23];       [25];       [24];
   69;      /R[4];       [18]; [26]/S[11];  [19]/S[4];       [22];       [23];       [25];       [24];
   70;      /S[1];       [18];       [26];       [19];  [22]/S[5];       [23];       [25];      /R[1];
   71;      /S[1];       [18];       [26];       [19];       [22];  [23]/S[6];       [25];      /R[1];
   72;      /S[1];       [18];       [26];       [19];       [22];  [23]/S[6];       [25];      /R[1];
   73;      /S[1];       [18];  [26]/S[3];       [19];      /R[1];  [23]/S[6];       [25];      /R[3];
   74;      /R[8];  [18]/S[2];  [26]/S[3];       [19];      /R[2];       [23];       [25];      /R[3];
   75;      /R[8];       [18];  [26]/S[3];       [19];      /R[3];       [23];       [25];      /R[3];
   76;      /R[8];       [18];       [26];  [19]/S[4];      /R[7];       [23];  [25]/S[7];      /R[4];
   77;     /R[13];       [18];       [26];       [19];      /R[8];       [23];       [25];      /S[8];
   78;      /S[1];       [18];       [26];       [19];      /R[8];      /R[1];       [25];      /S[8];
   79;      /S[1]; [18]/S[10];       [26];      /R[1];     /R[10];      /R[1];  [25]/S[7];      /R[7];
   80;      /S[1];       [18]; [26]/S[11];      /R[1];     /R[11];      /R[1];       [25];     /R[13];
   81;      /S[1];      /R[1];       [26];      /R[2];     /R[12];      /R[2];       [25];     /R[13];
   82;     /R[16];      /R[4];       [26];      /S[4];      /S[5];      /R[2];     /S[15];     /R[15];
   83;     /R[16];      /R[6];  [26]/S[3];      /R[5];  [29]/S[5];      /S[6];           ;       [28];
   84;       [27];      /R[6];       [26];      /R[6];       [29];      /S[6];           ;       [28];
   85;       [27];      /R[7];       [26];      /R[7];  [29]/S[5];      /R[5];      /S[7];       [28];
   86;       [27];      /R[7];       [26];      /R[8];  [29]/S[5];      /R[5];      /S[7];  [28]/S[8];
