    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   83;     /S[33];           ;       [42];       [46];           ;     /R[33];       [37];       [44];           ;       [43];       [47];           ;       [48];       [30];     /R[33];           ;
   84;     /S[33];           ;           ;       [46];           ;     /R[33];           ;       [44];           ;           ;       [47];           ;       [48];       [30];     /R[33];           ;
   85;     /S[33];           ;           ;           ;           ;       [45];           ;       [44];           ;           ;       [47];           ;       [48]; [30]/R[33];       [49];           ;
   86;     /S[33];           ;           ;           ;           ;       [45];           ;           ;           ;           ;           ;           ;           ; [30]/R[33];       [49];           ;
   87;           ;           ;     /S[42];           ;           ; [45]/R[42];           ;           ;           ;           ;           ;           ;           ;       [41];       [49];           ;
   88;     /R[35];     /S[35];           ;           ;           ;     /R[43];           ;           ;     /S[38];     /S[43];           ;           ;           ; [41]/R[38];           ;           ;
   89;     /R[36];     /R[46];           ;     /S[46];     /S[36];     /R[44];           ;     /S[44];     /S[38];           ;           ;           ;           ; [41]/R[38];           ;           ;
   90;     /R[37];     /R[47];           ;           ;           ;       [52];     /S[37];           ;     /S[39];           ;     /S[47];           ;           ;     /R[39];           ;           ;
   91;     /R[37];     /R[48];           ;           ;           ;       [52];     /S[37];           ;     /S[39];           ;           ;           ;     /S[48];     /R[39];           ;           ;
   92;       [50];     /R[49];           ;           ;           ;       [52];           ;           ;           ;           ;           ;     /S[40];           ;     /R[40];     /S[49];           ;
   93;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
   94;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
   95;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
   96;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
   97;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
   98;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
   99;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
  100;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
  101;       [50];       [53];           ;           ;           ;       [52];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
  102;       [50];       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
  103;       [50];       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
  104;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;
