    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   67;           ;       [24];  [27]/S[3];       [32];       [29];       [30];       [28];       [31];       [22];     /R[15];           ;       [26];       [18];           ;     /S[15];           ;
   68;           ;       [24];  [27]/S[3];  [32]/S[4];       [29];       [30];       [28];       [31];       [22];       [23];           ;       [26];       [18];           ;           ;           ;
   69;           ;       [24];       [27];  [32]/S[4];       [29];       [30];       [28];       [31];       [22];       [23];           ;       [26];       [18];           ;           ;           ;
   70;           ;       [24];       [27];  [32]/S[4];       [29];       [30];       [28];  [31]/S[8];       [22];       [23];           ;       [26];       [18];           ;           ;           ;
   71;           ;       [24];       [27];       [32];       [29];  [30]/S[6];       [28];  [31]/S[8];       [22];       [23];           ;           ;       [18];           ;           ;           ;
   72;           ;       [24];       [27];       [32];       [29];       [30];       [28];       [31];       [22]; [23]/S[10];           ;           ;       [18];           ;           ;           ;
   73;           ;       [24];       [27];       [32];       [29];       [30];       [28];       [31];       [22]; [23]/S[10];           ;           ;       [18];           ;           ;           ;
   74;     /R[18];       [24];       [27];       [32];       [29];       [30];       [28];  [31]/S[8];       [22];       [23];           ;           ; [18]/S[18];           ;           ;           ;
   75;     /R[18];       [24];       [27];       [32];       [29];       [30];       [28];  [31]/S[8];       [22];       [23];           ;           ;     /S[18];           ;           ;           ;
   76;     /R[19];       [24];       [27];       [32];       [29];       [30];       [28];  [31]/S[8];       [22];       [23];           ;     /S[12];           ;           ;     /S[19];           ;
   77;     /R[19];       [24];       [27];       [32];       [29];       [30];       [28];       [31];       [22];       [23];           ;     /S[12];           ;           ;     /S[19];           ;
   78;     /R[19];       [24];       [27];       [32];       [29];       [30];       [28];  [31]/S[8];       [22];       [23];           ;     /S[12];           ;           ;     /S[19];           ;
   79;     /R[20];           ;       [27];       [32];       [29];       [30];       [28];  [31]/S[8];       [22];       [23];           ;     /S[12];           ;     /S[20];           ;           ;
   80;     /R[20];           ;       [27];       [32];       [29];       [30];       [28];       [31];       [22];       [23];           ;     /S[12];           ;     /S[20];           ;           ;
   81;     /R[20];           ;       [27];       [32];       [29];       [30];       [28];       [31];       [22];       [23];           ;     /S[12];           ;     /S[20];           ;           ;
   82;       [33];           ;       [27];       [32];       [29];       [30];       [28];       [31];       [22];       [23];           ;     /S[12];           ;           ;           ;           ;
   83;       [33];           ;       [27];       [32];       [29];       [30];       [28];       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   84;       [33];           ;       [27];       [32];       [29];       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   85;       [33];           ;       [27];       [32];       [29];       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   86;       [33];           ;       [27];       [32];           ;       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   87;       [33];           ;       [27];       [32];           ;       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   88;       [33];           ;       [27];       [32];           ;       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   89;       [33];           ;       [27];           ;           ;       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   90;       [33];           ;       [27];           ;           ;       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   91;       [33];           ;       [27];           ;           ;       [30];           ;       [31];       [22];       [23];           ;           ;           ;           ;           ;           ;
   92;       [33];     /R[21];       [27];     /S[25];     /R[25];       [30];           ;       [31];       [22];       [23];     /S[21];           ;           ;           ;           ;           ;
   93;       [34];     /R[21];       [27];     /S[25];     /R[25];       [30];           ;       [31];       [22];       [23];     /S[21];           ;           ;           ;           ;           ;
   94; [34]/S[33];     /R[33];       [27];     /R[18];     /S[29];       [30];     /R[26];       [31];     /R[29];       [23];     /R[19];     /S[26];     /S[18];           ;     /S[19];           ;
